                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2468,                0.72953,                 1.2845,                0.94038,                 0.8877,                0.92638,                0.54745,                 1.4321,                0.90757,                 1.3898,               0.070023,              0.0033308,              0.0033308
                      2,                 1.3261,                0.83174,                 1.3465,                0.94065,                0.87726,                0.92821,                0.56244,                 1.3815,                0.81209,                 1.3409,               0.039891,              0.0065322,              0.0065322
                      3,                 1.3002,                0.79588,                 1.3235,                0.93808,                0.89024,                 0.9373,                0.59536,                 1.3339,                 0.7357,                 1.3189,              0.0096268,              0.0096016,              0.0096016
                      4,                 1.2746,                0.76945,                 1.3109,                  0.951,                0.87398,                0.94032,                0.60716,                 1.2984,                0.67306,                 1.2873,               0.009406,               0.009406,               0.009406
                      5,                  1.259,                0.74637,                 1.2982,                0.95385,                0.90152,                0.94991,                0.59265,                 1.3448,                0.65329,                 1.3129,               0.009208,               0.009208,               0.009208
                      6,                 1.2479,                0.73222,                 1.2834,                0.94839,                0.90572,                0.94903,                0.59205,                 1.3401,                0.64423,                 1.3172,                0.00901,                0.00901,                0.00901
                      7,                 1.2397,                 0.7151,                 1.2781,                0.94549,                0.91925,                0.95876,                0.62061,                  1.285,                0.61431,                   1.27,               0.008812,               0.008812,               0.008812
                      8,                 1.2396,                0.70797,                  1.278,                0.95125,                0.91041,                0.95182,                0.62233,                 1.2676,                0.64882,                 1.2692,               0.008614,               0.008614,               0.008614
                      9,                 1.2233,                0.69976,                 1.2642,                 0.9604,                0.93283,                 0.9639,                0.62359,                 1.2783,                0.56996,                 1.2633,               0.008416,               0.008416,               0.008416
                     10,                 1.2137,                0.68695,                 1.2602,                0.96165,                0.91229,                0.96515,                0.64018,                 1.2284,                0.56636,                 1.2345,               0.008218,               0.008218,               0.008218
                     11,                 1.2089,                0.67278,                 1.2584,                0.94854,                0.88931,                0.94646,                0.63126,                 1.2317,                0.59818,                 1.2431,                0.00802,                0.00802,                0.00802
                     12,                 1.2079,                0.67039,                 1.2525,                0.96969,                0.91886,                0.96413,                0.63577,                 1.2386,                0.54988,                 1.2419,               0.007822,               0.007822,               0.007822
                     13,                 1.1968,                0.66745,                 1.2481,                0.97086,                0.92184,                0.96315,                0.63758,                 1.2417,                0.55116,                 1.2377,               0.007624,               0.007624,               0.007624
                     14,                  1.194,                0.66326,                 1.2479,                0.96655,                0.93509,                0.96779,                0.63805,                 1.2316,                0.52681,                 1.2323,               0.007426,               0.007426,               0.007426
                     15,                 1.1947,                 0.6512,                 1.2419,                0.97158,                0.93246,                 0.9647,                0.65144,                 1.1997,                 0.5276,                 1.2148,               0.007228,               0.007228,               0.007228
                     16,                 1.1849,                0.64027,                 1.2375,                0.97017,                0.93199,                0.96831,                0.66156,                 1.1925,                 0.5015,                 1.2038,                0.00703,                0.00703,                0.00703
                     17,                   1.18,                0.63397,                 1.2333,                0.97085,                0.93731,                0.96987,                0.66083,                 1.1873,                0.51014,                  1.201,               0.006832,               0.006832,               0.006832
                     18,                 1.1702,                0.63277,                 1.2298,                0.97035,                0.93621,                0.96837,                0.66619,                 1.1647,                0.49814,                 1.1905,               0.006634,               0.006634,               0.006634
                     19,                 1.1707,                0.62809,                 1.2258,                0.96856,                0.93949,                0.96961,                0.66153,                 1.1752,                  0.495,                 1.1932,               0.006436,               0.006436,               0.006436
                     20,                 1.1649,                0.62571,                 1.2238,                0.97665,                 0.9415,                0.97252,                0.66832,                 1.1793,                0.47905,                 1.1957,               0.006238,               0.006238,               0.006238
                     21,                  1.166,                0.62188,                  1.225,                0.97805,                0.94231,                0.97412,                0.66743,                 1.1661,                0.48095,                 1.1904,                0.00604,                0.00604,                0.00604
                     22,                 1.1587,                 0.6138,                 1.2196,                 0.9738,                0.94136,                0.97202,                0.67169,                 1.1636,                0.47287,                 1.1868,               0.005842,               0.005842,               0.005842
                     23,                 1.1529,                0.60642,                 1.2155,                 0.9715,                0.94231,                0.97165,                0.66965,                 1.1587,                0.47474,                 1.1863,               0.005644,               0.005644,               0.005644
                     24,                 1.1458,                0.59889,                 1.2107,                0.97208,                0.95122,                0.97582,                0.67249,                  1.162,                0.46248,                 1.1829,               0.005446,               0.005446,               0.005446
                     25,                 1.1457,                0.59561,                  1.211,                 0.9764,                0.94512,                0.97521,                0.67554,                 1.1501,                0.46494,                 1.1771,               0.005248,               0.005248,               0.005248
                     26,                 1.1403,                0.59659,                 1.2067,                0.97423,                0.94653,                0.97429,                0.67501,                 1.1556,                0.46403,                 1.1798,                0.00505,                0.00505,                0.00505
                     27,                 1.1338,                0.59402,                 1.2045,                0.96994,                  0.947,                0.97374,                0.67147,                 1.1652,                0.45839,                 1.1864,               0.004852,               0.004852,               0.004852
                     28,                 1.1289,                0.58341,                 1.2043,                0.96778,                0.94747,                0.97294,                0.67338,                 1.1569,                 0.4554,                 1.1839,               0.004654,               0.004654,               0.004654
                     29,                 1.1295,                0.57753,                 1.2056,                0.96152,                 0.9531,                0.97353,                0.67285,                 1.1519,                0.45513,                 1.1786,               0.004456,               0.004456,               0.004456
                     30,                 1.1251,                 0.5719,                  1.196,                0.97238,                0.94325,                0.97428,                0.67872,                 1.1476,                0.44795,                 1.1757,               0.004258,               0.004258,               0.004258
                     31,                 1.1259,                0.56798,                 1.1995,                0.97396,                0.94721,                0.97578,                0.67913,                 1.1472,                0.44649,                 1.1747,                0.00406,                0.00406,                0.00406
